"CountryCode";"SerieCode";"TypeCode";"Y1996";"Y1998";"Y2000";"Y2002";"Y2003";"Y2004";"Y2005";"Y2006";"Y2007";"Y2008";"Y2009";"Y2010";"Y2011";"Y2012";"Y2013";"Y2014";"Y2015";"Y2016"
"KGZ";"PV";"PER.RNK";41.4893608093262;37.2340431213379;39.6825408935547;26.9841270446777;18.0904521942139;15.0485439300537;14.5631065368652;11.5942029953003;17.3913040161133;26.4423084259033;25.1184825897217;15.1658763885498;15.1658763885498;18.9573459625244;18.4834117889404;19.5238094329834;18.5714282989502;22.8571434020996
"KGZ";"PV";"PER.RNK.LOWER";19.680850982666;18.6170215606689;19.0476188659668;12.6984128952026;5.52763795852661;4.85436916351318;5.33980560302734;5.31400966644287;9.17874431610107;15.865385055542;14.6919431686401;9.00473976135254;5.68720388412476;10.4265403747559;9.47867298126221;10;9.5238094329834;12.8571424484253
"KGZ";"PV";"PER.RNK.UPPER";67.5531921386719;65.4255294799805;69.8412704467773;48.1481475830078;29.1457290649414;24.7572822570801;26.2135925292969;18.8405799865723;27.0531406402588;39.9038467407227;39.3364944458008;25.5924167633057;26.0663509368896;29.8578205108643;28.4360198974609;29.0476188659668;26.1904754638672;34.761905670166
"KGZ";"PV";"STD.ERR";0.475315153598785;0.435323596000671;0.455642104148865;0.438636630773544;0.350437879562378;0.331347912549973;0.320311665534973;0.283642053604126;0.275087684392929;0.277000188827515;0.284500747919083;0.273786127567291;0.262529581785202;0.240249395370483;0.247961595654488;0.207958623766899;0.216902300715446;0.217919543385506
"KGZ";"RQ";"EST";-0.298121571540833;-0.0558729059994221;-0.0829638764262199;-0.113313391804695;-0.371154725551605;-0.321623980998993;-1.00521039962769;-0.663519561290741;-0.414783805608749;-0.350386291742325;-0.331768989562988;-0.251272559165955;-0.210014969110489;-0.332078099250793;-0.31303271651268;-0.434673011302948;-0.502659618854523;-0.352723449468613
"KGZ";"RQ";"NO.SRC";2;4;6;7;7;8;9;10;10;10;10;10;11;11;11;11;11;10
"KGZ";"RQ";"PER.RNK";41.847827911377;51.295337677002;50.769229888916;51.0204086303711;41.326530456543;42.8571434020996;16.6666660308838;25;37.3786392211914;42.2330093383789;41.1483268737793;43.5406684875488;45.971565246582;41.2322273254395;42.1800956726074;35.0961532592773;34.6153831481934;40.3846168518066
"KGZ";"RQ";"PER.RNK.LOWER";21.1956520080566;25.9067363739014;28.7179489135742;34.1836738586426;24.4897956848145;25.6157627105713;9.80392169952393;17.1568622589111;22.3300971984863;28.6407775878906;29.6650714874268;33.9712905883789;35.0710906982422;29.3838863372803;30.8056869506836;26.4423084259033;25;26.9230766296387
"KGZ";"RQ";"PER.RNK.UPPER";62.5;67.3575134277344;65.1282043457031;61.7346954345703;52.5510215759277;54.679801940918;24.5098037719727;41.6666679382324;51.4563102722168;52.4271850585938;51.6746406555176;53.1100463867188;53.554500579834;50.7108993530273;52.6066360473633;49.038459777832;47.1153831481934;53.3653831481934
"KGZ";"RQ";"STD.ERR";0.360231846570969;0.304363697767258;0.279079616069794;0.242020606994629;0.191559821367264;0.196901068091393;0.170697018504143;0.185861885547638;0.185304373502731;0.174780264496803;0.166831880807877;0.161219567060471;0.15358804166317;0.16304287314415;0.16609899699688;0.180324643850327;0.17536561191082;0.182760462164879
"KGZ";"RL";"EST";-0.725473284721375;-0.701939165592194;-0.871080696582794;-0.805312633514404;-0.740912199020386;-0.814025104045868;-1.11442315578461;-1.31362462043762;-1.31849896907806;-1.37156319618225;-1.32534229755402;-1.26685726642609;-1.19034647941589;-1.12948179244995;-1.10920751094818;-0.926912188529968;-0.989245474338531;-1.09529089927673
"KGZ";"RL";"NO.SRC";4;6;9;10;10;11;12;15;15;15;15;15;15;15;15;14;14;12
"KGZ";"RL";"PER.RNK";27.6381912231445;27.5;25.2475242614746;25.2475242614746;26.7326736450195;23.4449768066406;13.8755979537964;8.61244010925293;7.17703342437744;6.73076915740967;5.68720388412476;8.53080558776855;12.2065725326538;13.1455402374268;13.1455402374268;16.8269233703613;14.4230766296387;12.9807691574097
"KGZ";"RL";"PER.RNK.LOWER";14.5728645324707;15;11.3861389160156;14.3564357757568;15.3465347290039;14.3540668487549;7.17703342437744;2.39234447479248;3.34928226470947;2.4038462638855;2.36966824531555;3.3175356388092;5.16431903839111;6.57277011871338;7.51173686981201;9.13461494445801;7.692307472229;7.692307472229
"KGZ";"RL";"PER.RNK.UPPER";42.2110557556152;41.5;33.6633682250977;37.6237640380859;40.5940589904785;36.3636360168457;23.9234447479248;13.8755979537964;12.9186601638794;12.0192308425903;14.2180099487305;14.6919431686401;16.9014091491699;19.2488269805908;20.1877937316895;27.4038467407227;25;19.7115383148193
"KGZ";"RL";"STD.ERR";0.272764801979065;0.243368938565254;0.209160104393959;0.197899803519249;0.201074033975601;0.182908415794373;0.180689871311188;0.15183661878109;0.152224496006966;0.146210625767708;0.140519261360168;0.136635437607765;0.131654843688011;0.130066469311714;0.132019355893135;0.137921199202538;0.140695780515671;0.156677275896072
"KGZ";"VA";"EST";-0.787026464939117;-0.808966398239136;-1.09425985813141;-1.01542329788208;-1.02784180641174;-1.01614332199097;-0.88755065202713;-0.759082138538361;-0.962735652923584;-1.0917649269104;-1.01988685131073;-0.934334874153137;-0.68298727273941;-0.611097157001495;-0.538261115550995;-0.462497383356094;-0.40414622426033;-0.489857703447342
"KGZ";"VA";"NO.SRC";4;4;5;7;7;8;9;12;13;13;13;13;13;13;13;11;11;11
"KGZ";"VA";"PER.RNK";24;25.3731346130371;15.4228858947754;19.4029846191406;20.8955230712891;19.230770111084;23.0769233703613;25.9615383148193;20.6730766296387;17.3076915740967;18.4834117889404;21.3270149230957;28.6384983062744;28.6384983062744;30.046947479248;32.5123138427734;33.4975357055664;32.5123138427734
"KGZ";"VA";"PER.RNK.LOWER";13.5;13.4328355789185;8.95522403717041;10.945273399353;9.95024871826172;10.0961542129517;13.4615383148193;20.6730766296387;14.4230766296387;11.5384616851807;13.2701425552368;13.7440757751465;23.0046939849854;24.8826293945313;26.7605628967285;27.5862064361572;28.5714282989502;28.5714282989502
